flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [16384, 1, 1024, 4096](b, h, d, r), [count]: 3681
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [496, 1, 1024, 4096](b, h, d, r), [count]: 344
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [512, 1, 1024, 4096](b, h, d, r), [count]: 344
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [1, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [104, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [112, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [120, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [128, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [136, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [144, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [152, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [16, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [160, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [168, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [176, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [184, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [192, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [2, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [200, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [208, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [216, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [224, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [232, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [24, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [240, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [248, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [256, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [272, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [288, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [304, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [32, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [320, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [336, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [352, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [368, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [384, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [4, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [40, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [400, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [4100, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [416, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [432, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [448, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [464, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [48, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [480, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [56, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [64, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [72, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [8, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [80, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [88, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [96, 1, 1024, 4096](b, h, d, r), [count]: 172
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [13021, 1, 1024, 4096](b, h, d, r), [count]: 129
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [12991, 1, 1024, 4096](b, h, d, r), [count]: 43
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [13005, 1, 1024, 4096](b, h, d, r), [count]: 43
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [2048, 1, 1024, 4096](b, h, d, r), [count]: 43
flag_gems.ops.fp8_einsum.fp8_einsum, [shape info]: [3076, 1, 1024, 4096](b, h, d, r), [count]: 42
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 64, 256, 4096](batch, M, N, K), [count]: 216161
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 64, 2048, 4096](batch, M, N, K), [count]: 105567
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 64, 512, 4096](batch, M, N, K), [count]: 105567
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 64, 1024, 4096](batch, M, N, K), [count]: 100540
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 16384, 256, 4096](batch, M, N, K), [count]: 3274
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 16384, 2048, 4096](batch, M, N, K), [count]: 1599
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 16384, 512, 4096](batch, M, N, K), [count]: 1599
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 16384, 1024, 4096](batch, M, N, K), [count]: 1522
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 63, 256, 4096](batch, M, N, K), [count]: 602
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 1, 256, 4096](batch, M, N, K), [count]: 387
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 63, 2048, 4096](batch, M, N, K), [count]: 294
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 63, 512, 4096](batch, M, N, K), [count]: 294
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 63, 1024, 4096](batch, M, N, K), [count]: 280
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 1, 2048, 4096](batch, M, N, K), [count]: 189
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 1, 512, 4096](batch, M, N, K), [count]: 189
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 1, 1024, 4096](batch, M, N, K), [count]: 180
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 32, 256, 4096](batch, M, N, K), [count]: 172
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 4100, 256, 4096](batch, M, N, K), [count]: 172
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 48, 256, 4096](batch, M, N, K), [count]: 172
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 60, 256, 4096](batch, M, N, K), [count]: 172
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 12, 256, 4096](batch, M, N, K), [count]: 129
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 13021, 256, 4096](batch, M, N, K), [count]: 129
flag_gems.ops.router_gemm.splitk_mm, [shape info]: [-, 16, 256, 4096](batch, M, N, K), [count]: 129
