flag_gems.ops.mm.general_mm, [shape info]: [-, 64, 16160, 7168](batch, M, N, K), [count]: 5026
flag_gems.ops.mm.general_mm, [shape info]: [-, 16384, 64, 7168](batch, M, N, K), [count]: 830
flag_gems.ops.mm.general_mm, [shape info]: [-, 16384, 256, 7168](batch, M, N, K), [count]: 791
flag_gems.ops.mm.general_mm, [shape info]: [-, 1, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 104, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 112, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 120, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 128, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 136, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 144, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 152, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 16, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 160, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 168, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 176, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 184, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 192, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 2, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 200, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 208, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 216, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 224, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 232, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 24, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 240, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 248, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 256, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 272, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 288, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 304, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 320, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 336, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 352, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 368, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 384, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 4, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 40, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 400, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 416, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 432, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 448, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 464, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 48, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 480, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 496, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 512, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 56, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 64, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 72, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 8, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 80, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 88, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 96, 64, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 32, 64, 7168](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 104, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 112, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 120, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 128, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 136, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 144, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 152, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 160, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 168, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 176, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 184, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 192, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 200, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 208, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 216, 256, 7168](batch, M, N, K), [count]: 232
flag_gems.ops.mm.general_mm, [shape info]: [-, 224, 256, 7168](batch, M, N, K), [count]: 232
