flag_gems.ops.sparse_attention.sparse_attn_triton, [shape info]: [16, 1, 136, 136, 8, 512](B, M, KV_LEN, TOPK, H, D), [count]: 5120
flag_gems.ops.sparse_attention.sparse_attn_triton, [shape info]: [16, 1, 392, 385, 8, 512](B, M, KV_LEN, TOPK, H, D), [count]: 672
flag_gems.ops.sparse_attention.sparse_attn_triton, [shape info]: [16, 1, 392, 386, 8, 512](B, M, KV_LEN, TOPK, H, D), [count]: 672
flag_gems.ops.sparse_attention.sparse_attn_triton, [shape info]: [16, 1, 392, 387, 8, 512](B, M, KV_LEN, TOPK, H, D), [count]: 672
flag_gems.ops.sparse_attention.sparse_attn_triton, [shape info]: [16, 1, 392, 388, 8, 512](B, M, KV_LEN, TOPK, H, D), [count]: 672
flag_gems.ops.sparse_attention.sparse_attn_triton, [shape info]: [16, 1, 392, 389, 8, 512](B, M, KV_LEN, TOPK, H, D), [count]: 672
flag_gems.ops.sparse_attention.sparse_attn_triton, [shape info]: [16, 1, 392, 390, 8, 512](B, M, KV_LEN, TOPK, H, D), [count]: 672
flag_gems.ops.sparse_attention.sparse_attn_triton, [shape info]: [16, 1, 392, 391, 8, 512](B, M, KV_LEN, TOPK, H, D), [count]: 672
flag_gems.ops.sparse_attention.sparse_attn_triton, [shape info]: [16, 1, 128, 128, 8, 512](B, M, KV_LEN, TOPK, H, D), [count]: 512
flag_gems.ops.sparse_attention.sparse_attn_triton, [shape info]: [16, 1, 392, 384, 8, 512](B, M, KV_LEN, TOPK, H, D), [count]: 504
flag_gems.ops.sparse_attention.sparse_attn_triton, [shape info]: [16, 1024, 1280, 384, 8, 512](B, M, KV_LEN, TOPK, H, D), [count]: 336
flag_gems.ops.sparse_attention.sparse_attn_triton, [shape info]: [16, 1024, 1032, 136, 8, 512](B, M, KV_LEN, TOPK, H, D), [count]: 320
flag_gems.ops.sparse_attention.sparse_attn_triton, [shape info]: [16, 1, 392, 392, 8, 512](B, M, KV_LEN, TOPK, H, D), [count]: 168
flag_gems.ops.sparse_attention.sparse_attn_triton, [shape info]: [16, 1024, 1024, 128, 8, 512](B, M, KV_LEN, TOPK, H, D), [count]: 32
flag_gems.ops.w8a8_block_fp8_matmul.general_w8a8_block_fp8_matmul, [shape info]: [-, 1, 2048, 4096](batch, M, N, K), [count]: 79826
flag_gems.ops.w8a8_block_fp8_matmul.general_w8a8_block_fp8_matmul, [shape info]: [-, 1, 4096, 2048](batch, M, N, K), [count]: 39913
flag_gems.ops.w8a8_block_fp8_matmul.general_w8a8_block_fp8_matmul, [shape info]: [-, 16, 2048, 4096](batch, M, N, K), [count]: 23134
flag_gems.ops.w8a8_block_fp8_matmul.general_w8a8_block_fp8_matmul, [shape info]: [-, 16, 4096, 1024](batch, M, N, K), [count]: 22016
flag_gems.ops.w8a8_block_fp8_matmul.general_w8a8_block_fp8_matmul, [shape info]: [-, 2, 2048, 4096](batch, M, N, K), [count]: 21142
flag_gems.ops.w8a8_block_fp8_matmul.general_w8a8_block_fp8_matmul, [shape info]: [-, 16, 4096, 2048](batch, M, N, K), [count]: 11567
flag_gems.ops.w8a8_block_fp8_matmul.general_w8a8_block_fp8_matmul, [shape info]: [-, 16, 1024, 4096](batch, M, N, K), [count]: 11008
flag_gems.ops.w8a8_block_fp8_matmul.general_w8a8_block_fp8_matmul, [shape info]: [-, 16, 512, 4096](batch, M, N, K), [count]: 11008
flag_gems.ops.w8a8_block_fp8_matmul.general_w8a8_block_fp8_matmul, [shape info]: [-, 2, 4096, 2048](batch, M, N, K), [count]: 10571
flag_gems.ops.w8a8_block_fp8_matmul.general_w8a8_block_fp8_matmul, [shape info]: [-, 3, 2048, 4096](batch, M, N, K), [count]: 8428
flag_gems.ops.w8a8_block_fp8_matmul.general_w8a8_block_fp8_matmul, [shape info]: [-, 16, 1024, 1024](batch, M, N, K), [count]: 5376
flag_gems.ops.w8a8_block_fp8_matmul.general_w8a8_block_fp8_matmul, [shape info]: [-, 4, 2048, 4096](batch, M, N, K), [count]: 4604
flag_gems.ops.w8a8_block_fp8_matmul.general_w8a8_block_fp8_matmul, [shape info]: [-, 3, 4096, 2048](batch, M, N, K), [count]: 4214
flag_gems.ops.w8a8_block_fp8_matmul.general_w8a8_block_fp8_matmul, [shape info]: [-, 5, 2048, 4096](batch, M, N, K), [count]: 3000
flag_gems.ops.w8a8_block_fp8_matmul.general_w8a8_block_fp8_matmul, [shape info]: [-, 6, 2048, 4096](batch, M, N, K), [count]: 2360
