flag_gems.ops.addmm.addmm, [shape info]: [-, 12675, 4608, 4608](batch, M, N, K), [count]: 1
flag_gems.ops.addmm.addmm, [shape info]: [-, 12675, 7168, 4608](batch, M, N, K), [count]: 1
flag_gems.ops.bmm.bmm_out, [shape info]: [-, 448, 7168, 256](batch, M, N, K), [count]: 1
flag_gems.ops.copy.copy_, [shape info]: [-, 336, 2112, 7168](batch, M, N, K), [count]: 7
flag_gems.ops.copy.copy_, [shape info]: [-, 232, 1536, 1536](batch, M, N, K), [count]: 1
flag_gems.ops.copy.copy_, [shape info]: [-, 240, 1536, 1536](batch, M, N, K), [count]: 1
flag_gems.ops.copy.copy_, [shape info]: [-, 320, 4608, 7168](batch, M, N, K), [count]: 1
flag_gems.ops.fill.fill_scalar_, [shape info]: [-, 32, 2112, 7168](batch, M, N, K), [count]: 20
flag_gems.ops.fill.fill_scalar_, [shape info]: [-, 32, 384, 7168](batch, M, N, K), [count]: 6
flag_gems.ops.mm.general_mm, [shape info]: [-, 4, 20480, 7168](batch, M, N, K), [count]: 30644
flag_gems.ops.mm.general_mm, [shape info]: [-, 16384, 7168, 1024](batch, M, N, K), [count]: 567
flag_gems.ops.mm.general_mm, [shape info]: [-, 16384, 384, 7168](batch, M, N, K), [count]: 554
flag_gems.ops.mm.general_mm, [shape info]: [-, 16384, 512, 7168](batch, M, N, K), [count]: 533
flag_gems.ops.mm.general_mm, [shape info]: [-, 16384, 7168, 256](batch, M, N, K), [count]: 532
flag_gems.ops.mm.general_mm, [shape info]: [-, 16384, 2112, 7168](batch, M, N, K), [count]: 510
flag_gems.ops.mm.general_mm, [shape info]: [-, 16384, 1536, 1536](batch, M, N, K), [count]: 505
flag_gems.ops.mm.general_mm, [shape info]: [-, 32, 384, 7168](batch, M, N, K), [count]: 263
flag_gems.ops.mm.general_mm, [shape info]: [-, 400, 7168, 1024](batch, M, N, K), [count]: 253
flag_gems.ops.mm.general_mm, [shape info]: [-, 160, 7168, 1024](batch, M, N, K), [count]: 252
flag_gems.ops.mm.general_mm, [shape info]: [-, 464, 7168, 1024](batch, M, N, K), [count]: 251
flag_gems.ops.mm.general_mm, [shape info]: [-, 96, 7168, 1024](batch, M, N, K), [count]: 251
